feature_idx,importance
422,338
913,111
525,98
421,94
529,90
586,87
623,84
815,83
749,80
513,80
750,77
803,76
583,76
728,74
304,73
464,72
438,71
1044,71
631,70
767,69
1058,68
710,67
868,67
874,67
605,66
572,66
1005,66
452,66
902,66
937,66
499,65
618,65
435,65
707,64
497,64
621,64
448,64
569,63
571,63
12,63
458,62
450,62
996,62
886,62
690,61
952,61
910,61
514,61
645,61
884,61
971,59
531,59
679,59
566,58
533,58
1039,58
667,57
510,57
758,57
959,57
581,57
928,57
887,56
599,56
933,56
988,56
790,56
461,56
1049,56
879,56
1009,56
491,56
699,56
578,56
774,56
1023,55
762,55
692,55
963,55
931,55
426,55
1062,55
504,54
534,54
926,54
833,54
850,54
794,54
521,53
911,53
542,53
588,53
485,53
587,53
469,53
949,53
671,53
454,52
1026,52
940,52
816,52
814,52
821,52
204,52
719,52
804,52
429,52
716,52
856,52
1027,51
695,51
776,51
619,51
1048,51
567,51
945,51
981,50
876,50
922,50
983,50
703,50
878,50
765,50
546,50
813,50
585,50
823,49
873,49
872,49
560,49
620,49
460,49
780,49
751,49
923,49
543,49
1004,48
573,48
1024,48
476,48
829,48
651,48
557,48
642,48
515,48
434,48
423,48
431,48
909,47
1012,47
424,47
437,47
867,47
687,47
754,47
1031,47
935,47
950,47
965,47
601,47
812,47
789,47
641,47
661,47
1019,46
943,46
576,46
507,46
617,46
449,46
597,46
591,46
568,46
559,45
951,45
1000,45
553,45
519,45
757,45
482,45
934,45
425,45
689,45
869,44
824,44
855,44
673,44
663,44
773,44
1065,44
788,44
906,44
649,44
822,44
1057,44
973,44
992,44
808,44
688,44
912,44
764,44
784,43
830,43
968,43
729,43
600,43
836,43
843,43
541,43
1052,43
990,43
771,43
503,43
505,43
484,43
442,43
1018,43
495,43
496,43
575,43
1030,43
684,42
659,42
506,42
455,42
474,42
853,42
885,42
866,42
432,42
858,42
861,42
972,42
664,42
440,42
936,42
1041,42
1006,42
697,41
562,41
837,41
1047,41
640,41
818,41
825,41
608,41
747,41
759,41
656,41
493,41
459,41
799,41
498,41
509,41
1035,41
900,41
929,41
891,41
472,41
907,41
570,40
989,40
611,40
991,40
518,40
948,40
791,40
796,40
660,40
898,40
785,40
894,40
445,40
447,40
657,40
683,40
700,40
549,40
724,39
698,39
726,39
811,39
441,39
590,39
626,39
535,39
1022,39
778,39
800,39
848,39
761,39
746,39
1060,39
998,39
522,39
862,39
582,39
892,39
901,39
908,39
487,38
708,38
924,38
1034,38
1037,38
832,38
527,38
842,38
489,38
932,38
637,38
1016,38
1002,38
1051,38
798,38
691,38
743,38
500,38
953,38
473,38
634,38
555,37
781,37
665,37
899,37
693,37
453,37
921,37
962,37
982,37
974,37
704,37
733,37
946,37
579,37
739,37
537,37
1053,37
526,37
834,37
607,37
720,37
694,37
770,37
647,37
630,37
795,37
648,37
470,37
1008,37
511,37
650,36
652,36
314,36
624,36
947,36
11,36
828,36
603,36
548,36
999,36
609,36
1045,36
1036,36
1015,36
512,36
517,36
905,36
763,36
686,35
715,35
871,35
819,35
554,35
551,35
849,35
745,35
480,35
674,35
870,35
916,35
494,35
756,35
1042,35
639,35
1063,35
614,35
1017,35
1003,35
19,34
980,34
1021,34
1038,34
1013,34
561,34
806,34
957,34
737,34
740,34
897,34
675,34
914,34
895,34
890,34
685,34
777,34
801,34
864,34
433,34
565,34
446,34
840,34
1028,33
702,33
970,33
714,33
705,33
646,33
882,33
655,33
888,33
486,33
462,33
852,33
854,33
638,33
775,33
787,33
779,33
477,33
439,33
844,33
627,33
875,33
863,33
1054,33
