category,param,value
best_param,max_depth,8
best_param,num_leaves,62
best_param,lr,0.06352293073833006
best_param,subsample,0.8528935222822775
best_param,colsample,0.6745860763709346
best_param,bagging_freq,10
best_param,L2,0.8928174498614541
best_param,L1,0.0009832162474431843
best_param,min_child,16
best_param,min_gain,0.035505368462810064
best_param,max_bin,110
best_param,max_delta,3.7896450795931953
best_param,min_hessian,0.11927433420983669
best_param,boost_avg,True
best_param,extra_trees,False
test_result,AUC,0.9405
test_result,ACC,0.8588
test_result,F1,0.8697
test_result,MCC,0.7167
