trial,best_AUC
0,0.9121
1,0.9196
2,0.9196
3,0.9235
4,0.9235
5,0.9235
6,0.9237
7,0.9237
8,0.9266
9,0.9266
10,0.9266
11,0.9266
12,0.9266
13,0.9266
14,0.9266
15,0.9266
16,0.9266
17,0.9266
18,0.9266
19,0.9266
20,0.9266
21,0.9266
22,0.9266
23,0.9266
24,0.9266
25,0.927
26,0.927
27,0.927
28,0.927
29,0.9271
30,0.9271
31,0.9271
32,0.9271
33,0.9271
34,0.9277
35,0.9277
36,0.9277
37,0.9277
38,0.9277
39,0.9277
40,0.9291
41,0.9291
42,0.9291
43,0.9291
44,0.9291
45,0.9291
46,0.9291
47,0.9291
48,0.9291
49,0.9291
50,0.9291
51,0.9291
52,0.9291
53,0.9291
54,0.9291
55,0.9291
56,0.9291
57,0.9291
58,0.9291
59,0.9291
60,0.9291
61,0.9291
62,0.9291
63,0.9291
64,0.9291
65,0.9291
66,0.9291
67,0.9291
68,0.9291
69,0.9291
70,0.9291
71,0.9291
72,0.9291
73,0.9291
74,0.9291
75,0.9291
76,0.9291
77,0.9291
78,0.9291
79,0.9291
80,0.9291
81,0.9291
82,0.9291
83,0.9291
84,0.9291
85,0.9291
86,0.9291
87,0.9291
88,0.9291
89,0.9291
90,0.9291
91,0.9291
92,0.9291
93,0.9291
94,0.9291
95,0.9291
96,0.9291
97,0.9291
98,0.9291
99,0.9291
100,0.9291
101,0.9291
102,0.9291
103,0.9291
104,0.9291
105,0.9291
106,0.9291
107,0.9291
108,0.9291
109,0.9291
110,0.9291
111,0.9291
112,0.9291
113,0.9291
114,0.9297
115,0.9297
116,0.9297
117,0.9297
118,0.9297
119,0.9297
120,0.9297
121,0.9297
122,0.9297
123,0.9297
124,0.9297
125,0.9297
126,0.9297
127,0.9297
128,0.9297
129,0.9297
130,0.9297
131,0.9297
132,0.9297
133,0.9297
134,0.9297
135,0.9297
136,0.93
137,0.93
138,0.93
139,0.93
140,0.93
141,0.93
142,0.93
143,0.93
144,0.93
145,0.93
146,0.93
147,0.93
148,0.93
149,0.93
150,0.93
151,0.93
152,0.93
153,0.93
154,0.93
155,0.9302
156,0.9302
157,0.9302
158,0.9302
159,0.9302
160,0.9302
161,0.9302
162,0.9302
163,0.9302
164,0.9302
165,0.9302
166,0.9302
167,0.9302
168,0.9302
169,0.9302
170,0.9302
171,0.9302
172,0.9302
173,0.9302
174,0.9302
175,0.9302
176,0.9302
177,0.9302
178,0.9302
179,0.9302
180,0.9302
181,0.9302
182,0.9302
183,0.9302
184,0.9302
185,0.9302
186,0.9302
187,0.9302
188,0.9302
189,0.9302
190,0.9302
191,0.9302
192,0.9302
193,0.9302
194,0.9302
195,0.9302
196,0.9302
197,0.9302
198,0.9302
199,0.9302
200,0.9302
201,0.9302
202,0.9302
203,0.9302
204,0.9302
205,0.9302
206,0.9302
207,0.9302
208,0.9302
209,0.9302
210,0.9302
211,0.9302
212,0.9302
213,0.9302
214,0.9302
215,0.9302
216,0.9302
217,0.9302
218,0.9302
219,0.9302
220,0.9302
221,0.9302
222,0.9302
223,0.9302
224,0.9302
225,0.9302
226,0.9302
227,0.9302
228,0.9302
229,0.9302
230,0.9302
231,0.9302
232,0.9302
233,0.9302
234,0.9302
235,0.9302
236,0.9302
237,0.9302
238,0.9302
239,0.9302
240,0.9302
241,0.9302
242,0.9302
243,0.9302
244,0.9302
245,0.9302
246,0.9302
247,0.9302
248,0.9302
249,0.9302
250,0.9302
251,0.9302
252,0.9302
253,0.9302
254,0.9302
255,0.9302
256,0.9302
257,0.9302
258,0.9302
259,0.9302
260,0.9302
261,0.9302
262,0.9302
263,0.9302
264,0.9302
265,0.9302
266,0.9302
267,0.9302
268,0.9302
269,0.9302
270,0.9302
271,0.9302
272,0.9304
273,0.9304
274,0.9304
275,0.9304
276,0.9304
277,0.9304
278,0.9304
279,0.9304
280,0.9304
281,0.9304
282,0.9304
283,0.9304
284,0.9304
285,0.9304
286,0.9304
287,0.9304
288,0.9304
289,0.9304
290,0.9304
291,0.9304
292,0.9304
293,0.9304
294,0.9304
295,0.9304
296,0.9304
297,0.9304
298,0.9304
299,0.9304
