batch,AUC_mean,AUC_max,AUC_std,trials
0,0.9176,0.9266,0.0061,10
1,0.9179,0.9241,0.0128,10
2,0.9252,0.9271,0.0017,10
3,0.9255,0.9277,0.0017,10
4,0.9249,0.9291,0.0023,10
5,0.924,0.9259,0.0015,10
6,0.9249,0.9271,0.0022,10
7,0.9251,0.9275,0.0036,10
8,0.9259,0.9277,0.0015,10
9,0.926,0.9278,0.0021,10
10,0.9248,0.9268,0.0031,10
11,0.9266,0.9297,0.0022,10
12,0.9268,0.9286,0.0014,10
13,0.9286,0.93,0.0008,10
14,0.9278,0.9297,0.0011,10
15,0.9276,0.9302,0.0015,10
16,0.9277,0.929,0.0008,10
17,0.9278,0.9295,0.0011,10
18,0.9267,0.9293,0.0023,10
19,0.9277,0.9289,0.0015,10
20,0.9271,0.9285,0.0023,10
21,0.9277,0.9292,0.001,10
22,0.9272,0.9297,0.0013,10
23,0.9277,0.93,0.0024,10
24,0.9277,0.9289,0.0008,10
25,0.9273,0.9291,0.0012,10
26,0.9276,0.93,0.0017,10
27,0.9283,0.9304,0.0011,10
28,0.9276,0.9295,0.0014,10
29,0.9278,0.9295,0.0014,10
