trial,CV_AUC,max_depth,num_leaves,lr,subsample,colsample,bagging_freq,L2,L1,min_child,min_gain,max_bin,max_delta,min_hessian,boost_avg,extra_trees,time_s
0,0.9121,5,61,0.065,0.7796,0.6468,2,1.6326,4.3309,32,1.4161,66,4.8495,2.1368,True,True,15.2
1,0.9196,6,36,0.032,0.7836,0.6418,3,7.6441,2.2803,41,0.3993,162,2.9621,0.0015,True,True,28.2
2,0.91,8,54,0.0327,0.6293,0.8053,5,2.8797,2.4759,6,1.8186,112,3.3126,0.0177,False,True,19.5
3,0.9235,7,61,0.0844,0.7794,0.8766,1,4.3217,0.2261,19,0.7774,115,4.1437,0.0267,False,True,15.7
4,0.9154,4,63,0.0693,0.6596,0.6017,9,14.2837,3.645,40,0.1481,132,0.5793,2.8341,True,True,17.7
5,0.9104,5,50,0.0558,0.8662,0.7417,2,14.4083,3.8039,30,1.5419,158,2.6137,0.0513,False,True,22.3
6,0.9237,5,39,0.0862,0.6748,0.7231,8,4.9616,0.3849,18,0.3224,242,4.0406,0.3417,True,True,16.8
7,0.9212,6,54,0.0846,0.6954,0.633,3,8.8286,4.0901,44,0.0139,161,2.0871,0.0077,False,False,38.3
8,0.9266,6,49,0.0359,0.8915,0.8887,3,10.1963,1.5044,18,0.0738,180,2.5134,0.0016,False,False,147.0
9,0.9134,6,63,0.0295,0.8016,0.8285,3,14.7002,1.8389,34,1.2671,166,0.4514,2.1939,True,True,33.3
10,0.9211,8,15,0.0202,0.8806,0.893,6,19.2155,1.4453,7,0.9279,253,1.7805,0.0014,False,False,153.5
11,0.9209,4,38,0.0455,0.7128,0.7197,10,8.3307,0.2891,19,0.4375,241,3.8716,0.1632,True,False,66.6
12,0.9231,5,39,0.0445,0.837,0.7272,7,5.8185,1.0682,21,0.4382,213,1.4469,0.1937,False,False,57.6
13,0.9207,7,31,0.0203,0.6033,0.792,8,11.3055,0.8505,13,0.7093,203,4.86,8.2906,True,False,86.5
14,0.9228,5,46,0.0408,0.7212,0.8468,5,11.241,2.6964,25,0.1642,208,3.9824,0.4451,False,False,92.8
15,0.9235,7,26,0.0964,0.7356,0.7642,5,0.9061,0.7766,13,0.3219,228,2.3446,0.0048,True,False,54.3
16,0.9241,6,44,0.0253,0.8317,0.6903,10,5.5695,0.0581,50,0.6725,195,1.2429,0.0908,False,False,79.2
17,0.9202,6,45,0.025,0.8429,0.6834,10,11.0698,3.1083,50,0.9557,189,1.3663,0.0045,False,False,49.5
18,0.9207,7,45,0.0266,0.8988,0.7796,7,6.9476,4.9971,49,0.6046,182,0.8841,0.0524,False,False,56.4
19,0.8818,6,54,0.0366,0.8254,0.6829,4,9.7873,1.8084,27,1.1248,131,0.11,0.0121,False,False,46.5
20,0.9215,7,27,0.024,0.8566,0.8573,1,16.7399,0.0024,36,1.9239,181,1.2133,0.7062,False,False,55.6
21,0.925,5,41,0.0501,0.897,0.6895,9,4.8343,0.3976,13,0.1937,229,3.3618,0.1564,True,True,27.4
22,0.9265,6,50,0.0519,0.8994,0.6954,9,2.9006,1.2583,10,0.0719,226,3.2783,0.0724,False,False,103.7
23,0.9248,4,50,0.0521,0.8991,0.6687,9,3.3026,1.3041,12,0.0324,221,3.1085,0.8487,True,True,31.7
24,0.9257,5,49,0.0554,0.8767,0.7532,8,2.6346,1.701,10,0.2112,228,3.5075,0.0027,False,False,77.7
25,0.927,6,50,0.0591,0.8712,0.8212,7,2.5961,1.8877,10,0.0145,251,2.7569,0.0027,False,False,127.3
26,0.9258,6,58,0.0678,0.8093,0.8162,7,0.5972,2.1034,16,0.0027,252,2.7298,0.0027,False,False,111.6
27,0.9231,6,56,0.0381,0.8553,0.899,6,12.698,2.9982,5,0.5329,240,1.9593,0.0085,False,False,80.9
28,0.9252,7,49,0.061,0.876,0.8628,6,6.8366,1.4481,22,0.2562,213,2.6311,0.0012,False,False,67.8
29,0.9271,6,58,0.0746,0.8522,0.8226,4,2.0324,0.8147,10,0.0975,75,4.555,0.0026,False,False,47.9
30,0.9262,8,58,0.0699,0.7563,0.8304,4,1.953,0.7832,16,0.4822,77,4.6995,0.0021,False,False,26.9
31,0.9264,6,52,0.0749,0.849,0.8792,2,3.7638,1.0827,9,0.1082,66,4.4888,0.0035,False,False,44.3
32,0.9254,6,58,0.0611,0.8798,0.7744,4,1.823,1.9421,9,0.3101,85,2.2784,0.0011,False,False,35.1
33,0.9245,6,47,0.0785,0.8122,0.8,2,1.832,2.4,15,0.1254,145,3.7082,0.0235,False,False,45.8
34,0.9277,7,42,0.0469,0.8641,0.8212,5,3.4096,1.5783,8,0.0115,94,2.9859,0.0061,False,False,79.6
35,0.9251,7,34,0.0333,0.7876,0.8382,3,6.2835,1.6034,7,0.3378,93,2.9429,0.0063,False,False,69.6
36,0.9266,7,61,0.0453,0.8632,0.8141,4,4.1465,2.2053,5,0.2539,100,4.3355,0.0129,False,False,53.0
37,0.9243,8,43,0.0592,0.825,0.8702,5,16.8726,2.7518,23,0.1186,109,2.8205,0.0024,False,False,61.9
38,0.9218,5,53,0.0405,0.8671,0.8441,3,7.6397,0.618,18,1.6739,71,1.7267,0.0018,False,False,27.0
39,0.9271,7,42,0.035,0.7647,0.815,6,9.7477,1.13,11,0.0096,134,2.4106,0.0174,False,True,38.0
40,0.9291,8,35,0.0989,0.7638,0.7919,6,0.5019,1.07,11,0.0015,131,3.6289,0.0205,False,True,19.8
41,0.9264,8,35,0.095,0.749,0.7918,6,0.6512,1.054,11,0.0034,117,3.067,0.0312,False,True,17.6
42,0.9262,8,42,0.0908,0.7637,0.8155,7,2.2492,0.5962,8,0.1971,130,4.2486,0.017,False,True,18.0
43,0.9249,8,32,0.0723,0.7773,0.8249,6,3.4935,1.1339,15,0.3518,148,3.6528,0.009,False,True,18.7
44,0.9216,7,38,0.0799,0.6552,0.7979,5,4.6522,1.921,7,0.1394,88,2.3306,0.0356,False,True,16.0
45,0.9264,7,40,0.0656,0.7888,0.7751,6,1.2549,0.8889,11,0.0116,104,4.5317,0.0051,False,True,19.7
46,0.9256,7,36,0.0306,0.6925,0.8088,7,2.861,0.5325,14,0.2404,169,3.192,0.0165,False,True,29.3
47,0.9227,8,22,0.0879,0.8007,0.851,8,1.343,1.4497,5,0.3983,123,3.7562,0.0035,False,True,14.1
48,0.9238,7,31,0.0805,0.773,0.7834,5,5.1909,1.6729,11,0.0819,144,3.5039,0.0111,False,True,17.3
49,0.922,8,37,0.0472,0.7353,0.7633,4,13.1919,1.2143,20,0.2797,78,2.8817,0.0076,True,True,22.6
50,0.9206,7,47,0.0554,0.7083,0.8357,6,9.2848,2.0803,17,0.1118,153,2.4624,0.0219,False,True,19.7
51,0.9253,6,56,0.0348,0.8862,0.8826,5,4.1882,1.3365,8,0.1671,96,2.0198,0.0017,False,False,75.4
52,0.9251,6,43,0.0419,0.8429,0.8221,4,10.4535,0.9538,12,0.0653,171,2.651,0.0038,False,True,33.5
53,0.9259,6,52,0.0363,0.8681,0.7383,3,11.9136,1.5724,14,0.0041,119,2.5084,0.0016,False,False,122.7
54,0.9241,5,60,0.0274,0.8202,0.8057,7,8.915,0.2175,28,0.188,109,2.1914,0.0056,False,False,92.1
55,0.9242,6,47,0.0993,0.8871,0.7853,5,10.2392,2.3278,8,0.4024,138,4.0433,0.0353,True,False,30.3
56,0.9239,7,28,0.029,0.8573,0.8619,6,8.2737,2.5677,19,0.0914,63,4.9818,0.001,False,True,36.7
57,0.9247,6,41,0.0431,0.7376,0.6094,4,2.4922,0.7488,10,0.2281,195,1.6333,0.0067,False,False,76.6
58,0.9242,5,45,0.0395,0.8423,0.8497,3,15.3598,1.7982,13,0.0609,161,3.3856,0.003,False,False,122.6
59,0.9225,4,56,0.0488,0.8338,0.7609,1,5.819,1.4537,6,0.1596,177,2.9872,0.0449,True,True,28.1
60,0.9245,8,33,0.0327,0.7961,0.8366,5,19.5167,0.98,17,0.3631,125,2.5009,0.002,False,False,84.6
61,0.9262,7,61,0.0443,0.8653,0.8109,4,4.1393,2.0661,6,0.2652,101,4.2808,0.0124,False,False,53.7
62,0.9271,7,61,0.0475,0.8877,0.8218,4,3.2227,2.2371,9,0.0712,82,4.5716,0.0113,False,False,64.5
63,0.9263,7,63,0.0593,0.8906,0.8236,3,3.0405,1.2718,9,0.0583,79,4.8412,0.0041,False,False,59.6
64,0.9255,6,51,0.022,0.8745,0.7933,7,0.9762,1.597,12,0.166,89,4.6509,0.0218,False,False,85.9
65,0.9271,7,54,0.0521,0.8885,0.8915,6,2.4274,1.8398,24,0.0016,70,3.8389,0.098,False,False,61.0
66,0.9258,7,55,0.0506,0.8846,0.8036,6,1.6573,2.8716,45,0.0104,71,3.9131,0.101,False,False,48.0
67,0.9218,7,59,0.0527,0.8528,0.8307,5,3.4288,2.5377,32,1.356,82,4.0671,0.3482,False,False,21.0
68,0.9206,7,57,0.0642,0.62,0.8715,7,2.2707,3.2046,34,0.0836,72,3.5603,0.2112,False,False,29.5
69,0.9243,7,62,0.0472,0.8726,0.8578,6,0.6859,2.197,37,0.4794,91,4.1713,0.0666,False,False,35.8
70,0.9154,8,54,0.0741,0.8134,0.8908,5,5.1581,4.9281,24,0.3,68,3.771,9.3105,False,True,16.8
71,0.926,6,49,0.0556,0.8974,0.8905,4,1.4455,1.8314,21,0.1123,74,2.7594,3.1985,False,False,50.6
72,0.926,6,51,0.0354,0.8906,0.8439,5,3.8846,1.3806,25,0.0575,82,4.4722,0.0095,False,False,79.6
73,0.9256,7,48,0.0379,0.8791,0.8715,6,2.517,1.9858,10,0.2054,63,3.2551,0.0013,False,False,52.4
74,0.9254,6,54,0.0475,0.8635,0.8834,6,3.275,1.7992,14,0.1482,235,2.1479,0.003,False,False,105.2
75,0.9275,7,59,0.0582,0.8491,0.819,8,7.5292,1.1915,7,0.0074,97,1.8935,0.005,False,False,98.2
76,0.9274,7,59,0.0576,0.8467,0.7886,8,6.8583,1.1578,7,0.0394,94,4.7482,0.0152,False,False,74.5
77,0.9264,7,60,0.0541,0.8496,0.7468,8,7.7446,1.183,7,0.0513,96,4.7533,0.0147,True,False,71.4
78,0.9274,7,59,0.0577,0.8596,0.7709,9,6.6894,0.7092,5,0.1319,106,4.4035,0.0191,False,False,70.6
79,0.9239,7,19,0.0645,0.8303,0.7936,9,6.8166,0.7317,5,0.2404,112,4.6015,0.029,False,False,58.1
80,0.9275,8,63,0.0693,0.8369,0.7734,9,7.3495,0.5178,8,0.1088,104,4.4102,0.0197,False,True,20.2
81,0.9255,8,63,0.0685,0.8436,0.7685,9,7.4143,0.416,8,0.1508,105,4.3747,0.0204,False,True,20.0
82,0.9256,8,59,0.0617,0.7686,0.7858,10,8.4406,0.4803,9,0.1305,98,4.8867,0.0111,False,True,20.2
83,0.9267,8,62,0.0835,0.8578,0.776,9,6.0748,0.226,6,0.1973,137,4.3722,0.008,False,True,19.2
84,0.9263,7,59,0.0717,0.837,0.8172,8,6.5318,0.6532,7,0.0863,113,1.8593,0.0454,False,True,19.9
85,0.9277,8,57,0.0628,0.8224,0.8062,8,7.2725,0.8585,11,0.0473,86,4.7428,0.0165,False,True,25.0
86,0.9265,8,61,0.0585,0.826,0.8032,8,7.2732,1.0411,11,0.048,106,4.8028,0.0141,False,True,22.4
87,0.9223,8,29,0.0577,0.7496,0.7554,9,9.2701,0.8666,8,0.295,85,4.9688,0.0178,False,True,17.4
88,0.9253,8,62,0.0571,0.8194,0.7301,8,7.9881,1.1321,12,0.127,121,4.1598,0.0261,False,True,20.9
89,0.9258,7,57,0.0626,0.7834,0.7897,10,6.3878,0.3391,5,0.2126,126,4.6877,0.0099,False,True,20.6
90,0.9205,8,60,0.0661,0.8041,0.7727,8,5.461,0.6322,9,0.988,93,1.0174,0.0064,True,True,17.7
91,0.9278,7,57,0.0916,0.8478,0.7986,8,4.5297,0.8187,10,0.0478,86,4.5618,0.0188,False,True,19.7
92,0.9265,7,57,0.0907,0.8444,0.7981,9,4.7917,0.9218,11,0.0371,86,4.504,0.0154,False,True,18.6
93,0.9265,7,56,0.0774,0.8598,0.7799,8,7.2097,0.7218,6,0.105,102,1.5636,0.0332,False,True,18.9
94,0.9259,7,59,0.0933,0.8372,0.8172,9,8.6655,1.3178,13,0.0031,96,4.3789,0.0179,False,True,20.8
95,0.9257,7,61,0.054,0.7255,0.8101,8,9.5842,0.518,7,0.0617,110,4.7074,0.0257,False,True,23.7
96,0.9277,7,58,0.0973,0.8499,0.8293,10,5.6751,0.1031,9,0.1614,137,4.5873,0.0406,False,True,18.3
97,0.9268,8,55,0.0998,0.8521,0.799,10,5.8465,0.1019,10,0.1682,92,4.4666,0.0656,False,True,16.9
98,0.9266,7,58,0.0867,0.8685,0.8335,9,4.4574,0.1032,8,0.2457,115,0.5265,0.0445,False,True,19.4
99,0.9263,7,60,0.0957,0.8186,0.7681,10,6.6677,0.3314,9,0.191,79,4.5978,0.0051,False,True,15.2
100,0.9266,8,62,0.0818,0.8286,0.8271,9,5.4188,0.9654,6,0.1052,82,4.1898,0.0374,False,True,18.2
101,0.9268,7,39,0.0603,0.7614,0.8408,8,7.0133,0.856,12,0.0452,88,4.8378,0.02,False,True,22.1
102,0.9249,7,58,0.0916,0.847,0.806,7,7.9353,1.0926,15,0.1307,140,4.3271,0.0127,False,True,19.1
103,0.9257,7,63,0.0695,0.8597,0.7868,10,4.937,1.2416,11,0.0363,132,3.9939,0.0105,False,True,20.3
104,0.9268,7,24,0.0888,0.8407,0.8199,7,6.2511,0.554,7,0.0031,155,4.6387,0.0074,False,True,21.4
105,0.9164,7,57,0.0852,0.8812,0.7809,9,3.7945,0.4397,9,1.986,129,4.955,0.0242,False,True,15.5
106,0.9258,7,37,0.0946,0.8338,0.7571,8,7.5924,1.5349,10,0.089,99,4.7632,0.0304,False,False,44.4
107,0.9251,7,55,0.0494,0.8546,0.8113,9,5.8056,1.0098,13,0.172,151,4.4648,0.015,False,True,23.9
108,0.926,7,61,0.0566,0.8736,0.7961,8,8.2797,0.6894,8,0.2766,136,4.8976,0.0191,False,False,61.8
109,0.9235,8,53,0.0628,0.6546,0.8301,10,9.0264,0.8002,5,0.3311,119,3.1123,0.0084,True,True,18.3
110,0.9227,7,59,0.0664,0.8501,0.8062,7,4.4991,1.3565,12,1.6725,144,2.408,0.0061,False,False,23.0
